MH-64-li 11%
 1.00000    -0.00000
 0.99678     0.00001
 0.98710     0.00020
 0.97112     0.00092
 0.94919     0.00239
 0.92172     0.00478
 0.88921     0.00823
 0.85231     0.01275
 0.81167     0.01822
 0.76795     0.02443
 0.72178     0.03113
 0.67379     0.03801
 0.62452     0.04469
 0.57443     0.05088
 0.52396     0.05633
 0.47352     0.06091
 0.42357     0.06456
 0.37460     0.06719
 0.32711     0.06875
 0.28157     0.06916
 0.23842     0.06832
 0.19803     0.06620
 0.16073     0.06280
 0.12683     0.05815
 0.09658     0.05234
 0.07023     0.04550
 0.04794     0.03775
 0.02981     0.02931
 0.01589     0.02052
 0.00623     0.01180
 0.00199     0.00599
 0.00090     0.00373
 0.00022     0.00165
 0.00001     0.00038
 0.00006    -0.00077
 0.00044    -0.00194
 0.00113    -0.00314
 0.00263    -0.00501
 0.00462    -0.00693
 0.00694    -0.00883
 0.01834    -0.01537
 0.03467    -0.02165
 0.05570    -0.02737
 0.08123    -0.03229
 0.11108    -0.03621
 0.14507    -0.03901
 0.18296    -0.04069
 0.22448    -0.04130
 0.26924    -0.04094
 0.31680    -0.03974
 0.36667    -0.03782
 0.41830    -0.03531
 0.47113    -0.03238
 0.52453    -0.02916
 0.57785    -0.02579
 0.63044    -0.02236
 0.68166    -0.01898
 0.73087    -0.01575
 0.77746    -0.01276
 0.82088    -0.01006
 0.86058    -0.00771
 0.89606    -0.00573
 0.92687    -0.00411
 0.95262    -0.00280
 0.97299    -0.00175
 0.98777    -0.00087
 0.99687    -0.00023
